ID	Race	Grades	Sex	Name	Desc	BeginYear	Perception	Physique	Charisma	Intelligence	Luck	Fight	Qi	SocialContact	Medicine	Cooking	Building	Farming	Mining	Art	Manual	DouFa	DanQi	Fabao	FightSkill	Barrier	Zhen	F1	F2	F3	F4	F5	F6	IsCreat
2022010	Human	1	0	神医之女	[NAME]娴雅端秀，为忘忧谷神医之女。通灵体质，平素温和善良，有些小任性。但对厌恶的人事物毫不假以辞色。喜欢研究新的丹药，有收集伞的嗜好。	-1	10	10	10	10	10	0,0	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	Craftsman	Reader	Artist	LunHui_43	LianDanShi	LunHui_61	1
2022011	Human	1	0	天意城杀手	[NAME]天意城杀手，代号为「花」。为四大杀手之一「侍」的徒弟。忠于组织，外冷内热;容貌秀美，气质孤傲。平日作男性打扮行动。师父「侍」因任务失败而死，此后便一直等待着为师父复仇的机会。	-1	10	10	10	10	10	20,2	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	LunHui_17	Warrior	Tiger_Pier	Wolf_Calm	Cat_Elegant	DemonBlood	1
2022012	Human	1	0	修罗宫四宫主	[NAME]修罗宫四宫主。貌如月季，态拟水仙。个性善良，但不易和人亲近，身世鲜为人知。此人深爱花艺，对各类花卉如数家珍，身上会散发出一股淡淡花香，是个谜样的女子。	-1	10	10	10	10	10	20,2	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	Warrior	Tiger_Pier	Wolf_Calm	Cat_Elegant	LunHui_48	YinBody	1
2022013	Human	1	0	天龙八部夜叉	[NAME]天龙八部之夜叉，身着红衣的艳美女子。擅长轻功，邪气逼人，龙王麾下的第一战将。表面上狠辣狡猾，然而内心深处也有纯真和深情的一面，也有想做真实自己的愿望。	-1	10	10	10	10	10	20,2	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	Warrior	Tiger_Pier	Wolf_Calm	Cat_Elegant	LunHui_48	DemonBlood	1
2022014	Human	1	0	忘忧七贤	[NAME]忘忧七贤之一，精于音律。传说她所弹奏的乐曲有如天籁之音，能控制人的喜怒哀乐。	-1	10	10	10	10	10	0,0	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	Craftsman	Reader	Artist	LunHui_43	HuaFuShi	YinBody	1
2022015	Human	1	0	兽王庄四庄主	[NAME]自小由义父庄主万青山一手带大。对于捕兽、驯兽手法自是轻车熟路，手中的皮鞭乃其八岁那年所杀的巨鳄皮制成。个性独立，性格泼辣。	-1	10	10	10	10	10	20,2	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	Warrior	Tiger_Pier	Wolf_Calm	LunHui_35	LunHui_48	DragonBlood	1
2022016	Human	1	0	唐门千金	[NAME]唐门掌门人唐飞之女，性情温柔，待人和蔼。对哥哥的狠毒行径心存不满，然而她身为一弱质女流，却也只能听之任之，唯有在事后馈赠些金银给受害者家，稍作弥补。	-1	10	10	10	10	10	0,0	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	Craftsman	Reader	Artist	LunHui_43	LianBaoShi	LunHui_63	1
2022017	Human	1	0	毒大夫	[NAME]为怪医沈鸩与白丝之女，沈湘芸的堂姐。个性怪辟，最喜欢钻研毒术，隐居在谷外的大森林中。后用主角的身体炼出了“七彩蛊王”，并到西域行医，以毒术为他人治病，成为了当地赫赫有名的“毒大夫”。	-1	10	10	10	10	10	0,0	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	Craftsman	Reader	Artist	LunHui_43	LianDanShi	DemonBlood	1
2022018	Human	1	0	林家千金	[NAME]是修真世家林家的大小姐，跟家人赌气之下离家出走，跑去仙剑派，因为林家家主和仙剑派长老熟识，便收留了她。	-1	10	10	10	10	10	0,0	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	Craftsman	Reader	Artist	LunHui_43	LianBaoShi	YinBody	1
2022019	Human	1	0	星宫有铃	[NAME]原是星宫宫主，机缘巧合之下加入仙剑派。	-1	10	10	10	10	10	20,2	20,2	20,2	20,2	-20,0	-20,0	-20,0	-20,0	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	Warrior	Tiger_Pier	Wolf_Calm	Optimistic	LunHui_48	YinBody	1
2022020	Human	1	0	出云公主	[NAME]本姓赵，大华出云公主，皇帝赵元羽与皇后肖凤儿之女，高贵气质和美丽容颜冠绝天下。三岁时为避二王夺嫡之祸被玉德圣坊院主收养，改随母姓，拜圣坊武宗宗主宁雨昔为师学习武功，八岁时被圣坊第十六代院主定为十八代院主继承人。少女时代，心怀天下，丽羡群芳，是大华天下数一数二的武林高手之一。	-1	10	10	10	10	10	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	LunHui_17	Warrior	Tiger_Pier	Wolf_Calm	LunHui_48	SonOfDestiny	1
2022021	Human	1	0	圣坊宗主	[NAME]玉德圣坊武宗宗主，圣坊第十七代院主静安居士的侄女，肖青璇和李香君的师父，安碧如的师姐，秦仙儿的师叔，容颜绝丽，清心寡欲，不食人间烟火的圣坊仙子，武功天下第一。	-1	10	10	10	10	10	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	LunHui_17	Warrior	Tiger_Pier	Wolf_Calm	LunHui_48	SonOfDestiny	1
2022022	Human	1	0	精英弟子		-1	10	10	10	10	10	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	Craftsman	Bear_Fat	Rabbit_Fast	Chicken_Sleep	Tor_Longevity	LunHui_4	1
2021001	Human	2	0	蜀山剑仙	蜀山剑仙基本上以蜀山仙剑派为主流，修炼方式注重御器和战斗，修仙求积德而不求升仙，积极入世斩妖。仙剑派道法只要习得九牛一毛就能傲视武林，学得一半便可纵横三界！	-1	10	10	10	10	10	20,2	20,2	0,0	20,2	0,0	0,0	0,0	0,0	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	LunHui_17	Warrior	Tiger_Pier	Wolf_Calm	Rabbit_Fast	LunHui_45	1
2021002	Human	2	0	转世仙人	[NAME]的魂魄来自遥远的过去，因命运的召唤降临此界。虽然死亡与轮回能洗去[ITS]记忆，但是每次重生，命运都会指引[IT]走上相似的道路。\n[NAME]在被命运约束的同时，也享受了命运的馈赠，虽然这一切[IT]并不能察觉。	-1	10	10	10	10	10	0,0	20,2	0,0	20,2	0,0	0,0	0,0	0,0	20,2	20,2	0,0	0,0	0,0	0,0	0,0	0,0	LunHui_9	Inborn_Jin_Add	Inborn_Shui_Add	Inborn_Mu_Add	Inborn_Huo_Add	Inborn_Tu_Add	1
2021003	Human	0	0	仙胎道心	[NAME]有着强大的恢复力和惊人的慧根，并且心如止水一心向道。	-1	10	10	10	10	10	0,0	20,2	0,0	20,2	0,0	0,0	0,0	0,0	20,2	20,2	0,0	0,0	0,0	0,0	0,0	0,0	LunHui_60	Frog	DeepPotential	Anatman	LunHui_57	LunHui_Kong_6	1
2021004	Human	0	0	外门骨干		-1	10	10	10	10	10	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	20,2	0,0	0,0	0,0	0,0	RunFast	Optimistic	Numbness	Strong	Careful	Industrious	1
